Numero de documentos del corpus: 1
Numero de palabras del corpus: 0
Palabra: 0 Frec: 0 LogProb: -10.948611156253252
Palabra: 00 Frec: 0 LogProb: -10.948611156253252
Palabra: 000 Frec: 0 LogProb: -10.948611156253252
Palabra: 0000 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000007589 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000007591 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000009596 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000010219 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000011185 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000013085 Frec: 0 LogProb: -10.948611156253252
Palabra: 000000000053328 Frec: 0 LogProb: -10.948611156253252
Palabra: 000033 Frec: 0 LogProb: -10.948611156253252
Palabra: 000058 Frec: 0 LogProb: -10.948611156253252
Palabra: 000099 Frec: 0 LogProb: -10.948611156253252
Palabra: 0000ff Frec: 0 LogProb: -10.948611156253252
Palabra: 0001 Frec: 0 LogProb: -10.948611156253252
Palabra: 000155 Frec: 0 LogProb: -10.948611156253252
Palabra: 000156 Frec: 0 LogProb: -10.948611156253252
Palabra: 000187 Frec: 0 LogProb: -10.948611156253252
Palabra: 000198 Frec: 0 LogProb: -10.948611156253252
Palabra: 0001pt Frec: 0 LogProb: -10.948611156253252
Palabra: 000203 Frec: 0 LogProb: -10.948611156253252
Palabra: 000213 Frec: 0 LogProb: -10.948611156253252
Palabra: 000215 Frec: 0 LogProb: -10.948611156253252
Palabra: 0003 Frec: 0 LogProb: -10.948611156253252
Palabra: 000568 Frec: 0 LogProb: -10.948611156253252
Palabra: 000608 Frec: 0 LogProb: -10.948611156253252
Palabra: 000609date Frec: 0 LogProb: -10.948611156253252
Palabra: 000625date Frec: 0 LogProb: -10.948611156253252
Palabra: 000643date Frec: 0 LogProb: -10.948611156253252
Palabra: 000644 Frec: 0 LogProb: -10.948611156253252
Palabra: 000750013 Frec: 0 LogProb: -10.948611156253252
Palabra: 0007571982 Frec: 0 LogProb: -10.948611156253252
Palabra: 000e Frec: 0 LogProb: -10.948611156253252
Palabra: 000email Frec: 0 LogProb: -10.948611156253252
Palabra: 000everi Frec: 0 LogProb: -10.948611156253252
Palabra: 000in Frec: 0 LogProb: -10.948611156253252
Palabra: 000order Frec: 0 LogProb: -10.948611156253252
Palabra: 000partner Frec: 0 LogProb: -10.948611156253252
Palabra: 000se Frec: 0 LogProb: -10.948611156253252
Palabra: 000target Frec: 0 LogProb: -10.948611156253252
Palabra: 000to Frec: 0 LogProb: -10.948611156253252
Palabra: 000yen Frec: 0 LogProb: -10.948611156253252
Palabra: 000├»┬┐┬¢ Frec: 0 LogProb: -10.948611156253252
Palabra: 000├é┬ápcs├é┬á Frec: 0 LogProb: -10.948611156253252
Palabra: 001 Frec: 0 LogProb: -10.948611156253252
Palabra: 0011 Frec: 0 LogProb: -10.948611156253252
Palabra: 001203 Frec: 0 LogProb: -10.948611156253252
Palabra: 0014 Frec: 0 LogProb: -10.948611156253252
Palabra: 00153 Frec: 0 LogProb: -10.948611156253252
Palabra: 0016 Frec: 0 LogProb: -10.948611156253252
Palabra: 0017 Frec: 0 LogProb: -10.948611156253252
Palabra: 00170 Frec: 0 LogProb: -10.948611156253252
Palabra: 0018 Frec: 0 LogProb: -10.948611156253252
Palabra: 00193 Frec: 0 LogProb: -10.948611156253252
Palabra: 002 Frec: 0 LogProb: -10.948611156253252
Palabra: 0022 Frec: 0 LogProb: -10.948611156253252
Palabra: 00229 Frec: 0 LogProb: -10.948611156253252
Palabra: 0023 Frec: 0 LogProb: -10.948611156253252
Palabra: 002337 Frec: 0 LogProb: -10.948611156253252
Palabra: 0027 Frec: 0 LogProb: -10.948611156253252
Palabra: 0028 Frec: 0 LogProb: -10.948611156253252
Palabra: 0029 Frec: 0 LogProb: -10.948611156253252
Palabra: 003 Frec: 0 LogProb: -10.948611156253252
Palabra: 0031 Frec: 0 LogProb: -10.948611156253252
